scientific_name,common_name,category_key,rarity_hint,description,tips,created_at,photo_url
Anser albifrons,Oie rieuse,birds,epic,"Oie hivernale au plumage brun strié de noir au ventre, front blanc cerné de noir bien visible chez l'adulte, bec rose. Très bavarde.",Prairies humides côtières (Atlantique surtout) de novembre à mars. Cherche le front blanc caractéristique et les rayures noires irrégulières sur le ventre.,2026-05-11 17:29:10.709741+00,
Anser anser,Oie cendrée,birds,rare,"La plus grande oie sauvage d'Europe, plumage gris-brun barré, bec et pattes orangés, croupion blanchâtre. Vol en V bruyant typique.","Prairies humides, baies, étangs en passage et hivernage (oct-mars). Cherche les groupes paissant en plaine, ou écoute les cris en vol nocturne au passage.",2026-05-11 17:29:10.709741+00,
Anser brachyrhynchus,Oie à bec court,birds,legendary,"Oie nordique gris bleuté, tête sombre, bec court rose et noir, pattes rose vif. Hivernante très occasionnelle en France.","Prairies humides côtières du Nord-Ouest, très rare et localisée (déc-février). À chercher mêlée aux oies cendrées et rieuses, identification fine au bec.",2026-05-11 17:29:10.709741+00,
Anser fabalis,Oie des moissons,birds,epic,"Oie nordique sombre à bec noir et orange (anneau orange), pattes orange vif, plumage plus brun que la cendrée. Hivernante locale.",Plaines céréalières du Nord et Est en hivernage (nov-février). À distinguer de la cendrée par le bec à motif orange limité et le plumage plus sombre.,2026-05-11 17:29:10.709741+00,
Anthus campestris,Pipit rousseline,birds,epic,"Pipit pâle sableux peu strié, long sourcil clair, pattes claires, allure élancée. Se tient droit sur ses longues pattes au sol nu.","Garrigues, coteaux secs, sables littoraux du sud et de l'ouest de mai à août. Cherche-le marchant entre les touffes éparses, mâle chante en vol bondissant.",2026-05-11 17:21:32.121165+00,
Anthus petrosus,Pipit maritime,birds,epic,"Pipit gris-brun foncé, pattes sombres, dessous fortement strié, peu de contraste. Lié exclusivement aux côtes rocheuses et estrans.","Côtes rocheuses bretonnes et normandes toute l'année. Cherche-le sautillant sur les rochers couverts d'algues entre les vagues, à marée basse.",2026-05-11 17:21:32.121165+00,
Anthus pratensis,Pipit farlouse,birds,rare,"Petit passereau brun strié de prairie, dessous chamois fortement strié de noir, pattes claires. Cri « pip-pip » à l'envol typique.","Prairies humides, landes ouvertes toute l'année, hivernant plus large. Cherche-le marchant au sol ou en vol nuptial montant puis chutant.",2026-05-11 17:15:47.208986+00,
Anthus spinoletta,Pipit spioncelle,birds,rare,"Pipit gris ardoise dessus, poitrine rosée en plumage nuptial, sourcil blanc marqué, pattes sombres. Tonalité plus contrastée que la farlouse.","Alpages et zones humides de montagne en été, plaines humides en hiver. Cherche-le marchant à découvert dans les pelouses rases d'altitude.",2026-05-11 17:21:32.121165+00,
Anthus trivialis,Pipit des arbres,birds,rare,"Pipit brun strié, poitrine chamois marquée de stries fines, sourcil discret. Vol nuptial parachuté typique depuis le sommet d'un arbre.","Clairières, coupes forestières, lisières d'avril à août. Cherche le vol nuptial : montée chantée puis descente en parachute jusqu'à un perchoir haut.",2026-05-11 17:21:32.121165+00,
Apus apus,Martinet noir,birds,common,"Silhouette en faucille toute noire, longues ailes arquées, vol extrêmement rapide. Ne se pose jamais hors du nid. Cris stridents.","Villes et villages de mai à août seulement. Cherche les rondes hurlantes au-dessus des toits par soirées chaudes, ou les vols haut en journée.",2026-05-11 17:15:47.208986+00,
Apus pallidus,Martinet pâle,birds,epic,"Très semblable au martinet noir mais plumage brun plus pâle, gorge blanche plus étendue, ailes plus larges et arrondies. Plus discret.","Côtes méditerranéennes et villes du sud d'avril à septembre. À distinguer du martinet noir par le contraste pâle et les ailes moins acérées, identification fine.",2026-05-11 20:02:32.740404+00,
Aquila chrysaetos,Aigle royal,birds,epic,"Très grand rapace brun chocolat à nuque dorée, longues ailes digitées, queue longue. Silhouette de planeur majestueux au-dessus des massifs.","Massifs montagneux (Alpes, Pyrénées, Massif central) toute l'année. Cherche-le planant haut au-dessus des crêtes, ailes légèrement relevées en V plat.",2026-05-11 17:25:50.984936+00,
Aquila fasciata,Aigle de Bonelli,birds,legendary,"Rapace puissant à longues ailes, dessous blanc strié de noir, tache claire au dos, queue grise à barre terminale noire nette. Très menacé.","Falaises et garrigues du Languedoc-Roussillon et Provence toute l'année. Espèce ultra-rare (<40 couples en France), observation à éloigner des sites de nidification.",2026-05-11 17:25:50.984936+00,
Ardea alba,Grande Aigrette,birds,rare,"Grande aigrette entièrement blanche, taille du héron cendré, bec jaune en hivernage et noir en nuptial, pattes sombres. Allure majestueuse.","Étangs, marais, prairies humides surtout d'octobre à mars (hivernage massif). Cherche-la postée immobile dans les zones inondées, parfois en petits groupes.",2026-05-11 17:29:10.709741+00,
Ardea cinerea,Héron cendré,birds,common,"Grand héron gris ardoise et blanc, long cou en S, bec jaunâtre dague, sourcil noir prolongé en aigrettes nuptiales. Vol plané lent à cou replié.","Tous plans d'eau, prairies humides, parfois champs labourés toute l'année. Cherche-le posté immobile au bord de l'eau ou des fossés, à l'affût des poissons.",2026-05-11 17:29:10.709741+00,
Ardea purpurea,Héron pourpré,birds,rare,"Héron plus élancé que le cendré, plumage roux pourpré, long cou ondulé strié de noir. Vol typique au cou replié en angle marqué.","Grandes roselières d'avril à septembre. Cherche-le posté dans les phragmites ou en vol bas au-dessus de la roselière, plus discret que le cendré.",2026-05-11 17:29:10.709741+00,
Ardeola ralloides,Crabier chevelu,birds,epic,"Petit héron chamois doré au repos, ailes éclatantes blanc pur visibles seulement en vol. Plumes nuptiales effilées sur la nuque (huppe).","Marais, rizières, étangs du sud (Camargue, Brenne) de mai à août. Cherche-le posté immobile dans les hautes herbes inondées, métamorphose en vol.",2026-05-11 17:29:10.709741+00,
Arenaria interpres,Tournepierre à collier,birds,rare,"Petit limicole trapu et bigarré, motifs noir, blanc et roux en plumage nuptial, pattes orange vif, bec court robuste. Retourne les pierres et algues.","Plages rocheuses, jetées, ports en passage et hivernage (août-mai). Cherche son comportement typique : retourner cailloux et goémons en quête de proies.",2026-05-11 17:32:01.760665+00,
Asio flammeus,Hibou des marais,birds,epic,"Hibou pâle chamois strié à très courtes aigrettes peu visibles, yeux jaunes cerclés de noir. Chasse en vol plané bas, souvent en plein jour.","Marais, prairies humides, dunes en hivernage (oct-mars). Cherche le vol bas et flottant au-dessus des herbes en fin d'après-midi, parfois en groupes.",2026-05-11 17:25:50.984936+00,
Asio otus,Hibou moyen-duc,birds,rare,"Hibou élancé brun strié, longues aigrettes érectiles, yeux orange vif. Très discret en journée, perché contre un tronc en plumage cryptique.","Bosquets, plantations de conifères, vieux nids de corvidés toute l'année. Cherche les dortoirs hivernaux collectifs dans les jeunes pins, jusqu'à 20 oiseaux.",2026-05-11 17:25:50.984936+00,
Athene noctua,Chevêche d'Athéna,birds,rare,"Petite chouette trapue à gros yeux jaunes, sourcils blancs marqués, plumage brun moucheté de blanc. Souvent diurne, posée à découvert.","Bocages, vieux vergers, granges isolées toute l'année. Souvent visible de jour postée sur un piquet ou faîte de toit, surtout matin et soir. Chant « kiouh » miaulé.",2026-05-11 17:25:50.984936+00,
Aythya ferina,Fuligule milouin,birds,rare,"Canard plongeur trapu, mâle à tête roux marron, poitrine et arrière noirs, corps gris pâle. Œil rouge brillant.","Lacs, gravières, étangs surtout d'octobre à mars. Cherche les radeaux de mâles roux flottants, ou les plongées brèves en quête de plantes immergées.",2026-05-11 17:29:10.709741+00,
Aythya fuligula,Fuligule morillon,birds,common,"Canard plongeur, mâle noir avec flancs blancs purs et longue huppe occipitale tombante. Femelle brun foncé à huppe plus courte.","Lacs, gravières, étangs d'octobre à mars surtout, parfois en été. Cherche la huppe occipitale et le contraste noir-blanc tranché des mâles en radeaux.",2026-05-11 17:29:10.709741+00,
Aythya marila,Fuligule milouinan,birds,epic,"Fuligule nordique trapu, mâle à tête noire à reflets verts, dos vermiculé gris pâle, flancs blancs. Sans huppe, contrairement au morillon.","Côtes de la Manche, grandes baies et estuaires d'octobre à mars. À distinguer du morillon par l'absence de huppe et le dos gris pâle vermiculé.",2026-05-11 17:29:10.709741+00,
Aythya nyroca,Fuligule nyroca,birds,epic,"Petit fuligule brun acajou uniforme, œil blanc éclatant chez le mâle, large sous-caudales blanches. Discret en bordure de roselières.","Étangs riches en végétation aquatique, Dombes et Brenne surtout. Très rare nicheur en France, hivernant régulier en petits nombres parmi milouins et morillons.",2026-05-11 17:29:10.709741+00,
Botaurus stellaris,Butor étoilé,birds,epic,"Héron trapu brun fauve strié de noir, parfaitement camouflé dans les roseaux. Posture verticale figée bec en l'air en cas d'alerte.","Grandes roselières inondées de janvier à juillet. S'identifie surtout au chant nuptial « bouhmm » en corne de brume audible à 3-5 km, observation visuelle exceptionnelle.",2026-05-11 17:29:10.709741+00,
Branta bernicla,Bernache cravant,birds,rare,"Petite bernache sombre, tête et cou noirs avec petite tache blanche latérale, dos brun, ventre clair, croupion blanc tranché.",Vasières et prés salés de la Manche et Atlantique d'octobre à mars. Cherche les groupes paissant sur les zostères découvertes à marée basse.,2026-05-11 17:29:10.709741+00,
Branta leucopsis,Bernache nonnette,birds,epic,"Petite bernache contrastée à face blanche cerclée d'une calotte noire, cou et poitrine noirs, dos gris barré. Très bavarde en groupe.","Côtes du Nord-Ouest et grands plans d'eau intérieurs d'octobre à mars. À chercher mêlée aux oies, identification facile à la face blanche tranchée.",2026-05-11 17:29:10.709741+00,
Bubo bubo,Grand-duc d'Europe,birds,epic,"Plus grand rapace nocturne d'Europe, envergure 1,80 m, plumage brun orangé strié, longues aigrettes, énormes yeux orange. Cri grave « bouhou ».","Falaises, carrières, gorges des massifs et collines toute l'année. S'identifie surtout au chant grave « bou-hou » émis au crépuscule de janvier à mars.",2026-05-11 17:25:50.984936+00,
Bubulcus ibis,Héron garde-bœufs,birds,rare,"Petit héron blanc trapu, bec et pattes jaunes, plumes nuptiales orangées sur tête, dos et poitrine. Toujours associé au bétail.","Prairies pâturées et marais du sud et centre toute l'année, en expansion vers le nord. Cherche-le marchant entre les vaches et chevaux dans les près.",2026-05-11 17:29:10.709741+00,
Bucephala clangula,Garrot à œil d'or,birds,rare,"Canard plongeur trapu, mâle à grosse tête verte luisante portant une tache blanche ronde sur la joue, œil jaune doré, flancs blancs.","Lacs, grands étangs, estuaires d'octobre à mars. Cherche la tête massive en goutte et la tache joue blanche très visible des mâles plongeurs.",2026-05-11 17:29:10.709741+00,
Burhinus oedicnemus,Œdicnème criard,birds,rare,"Limicole étrange à gros yeux jaunes ronds, plumage sable strié parfaitement camouflé, longues pattes jaunes, allure de poule trapue.","Plaines caillouteuses, vignes, friches sèches (avril-octobre). Discret de jour, s'identifie surtout au chant nocturne en « kourliii » mélancolique.",2026-05-11 17:32:01.760665+00,
Buteo buteo,Buse variable,birds,common,"Rapace trapu de taille moyenne, queue large et arrondie, plumage très variable du brun foncé au crème presque blanc. Vol plané en cercles à mi-hauteur.","Bordures de champs et lisières toute l'année. Cherche-la posée sur poteaux ou piquets isolés, ou en vol plané à mi-hauteur par beau temps.",2026-05-11 17:25:50.984936+00,
Buteo lagopus,Buse pattue,birds,legendary,"Buse nordique pâle, queue blanche barrée d'une large bande noire terminale, tarses emplumés. Vol stationnaire en chasse au-dessus des prairies.","Hivernante très rare des plaines du Nord-Est (déc-février). À chercher en vol stationnaire « Saint-Esprit » au-dessus des chaumes, queue blanche typique.",2026-05-11 17:25:50.984936+00,
Calandrella brachydactyla,Alouette calandrelle,birds,epic,"Petite alouette pâle sableuse, sourcil clair, tache sombre sur le côté du cou, vol bondissant. Bec court et pâle, allure menue.","Steppes méditerranéennes de la Crau et coteaux secs de mai à août. Marche au sol entre les touffes ras, mâle chante en vol papillonnant.",2026-05-11 17:21:32.121165+00,
Calcarius lapponicus,Bruant lapon,birds,legendary,"Bruant nordique trapu, mâle nuptial à tête noire et nuque rousse, hivernant terne brun strié. Vu en France surtout en plumage discret.","Hivernant rare des plaines côtières du Nord-Ouest (nov-mars). À chercher dans les chaumes et bandes de pipits farlouses, identification fine.",2026-05-11 17:21:32.121165+00,
Calidris alba,Bécasseau sanderling,birds,rare,"Petit bécasseau très pâle, gris perle et blanc en hiver, contraste avec épaule noire en plumage nuptial. Court ras des vagues sur le sable.",Plages sableuses surtout d'août à mai. Identifie-le à son comportement unique : courir à toute vitesse en suivant le ressac des vagues.,2026-05-11 17:32:01.760665+00,
Calidris alpina,Bécasseau variable,birds,common,"Petit limicole le plus commun, bec long légèrement courbé, plumage nuptial roux strié à grand ventre noir caractéristique. Bandes serrées sur vasières.",Vasières et estuaires toute l'année surtout en passage et hivernage. Cherche les très grandes bandes synchrones changeant d'aspect en vol au-dessus de la vase.,2026-05-11 17:32:01.760665+00,
Calidris canutus,Bécasseau maubèche,birds,rare,"Bécasseau trapu de taille moyenne, plumage hivernal gris uni discret, roux vif partout en nuptial. Forme des bandes denses qui se déplacent en nuages.",Grandes vasières atlantiques en passage et hivernage (août-mai). Cherche les énormes bandes serrées du Mont-Saint-Michel ou de l'Aiguillon en mouvement coordonné.,2026-05-11 17:32:01.760665+00,
Calidris ferruginea,Bécasseau cocorli,birds,rare,"Bécasseau élégant à bec long bien courbé vers le bas, croupion blanc tranché en vol, plumage nuptial roux brique éclatant ventre compris.","Vasières, lagunes en passage surtout d'août à octobre. Cherche le bec long courbé, plus grand que le variable, et le croupion blanc en vol.",2026-05-11 17:32:01.760665+00,
Calidris minuta,Bécasseau minute,birds,rare,"Tout petit bécasseau, plumage hivernal gris-blanc clair, pattes noires, sourcil blanc. Plus petit et plus pâle que le variable.","Vasières, lagunes en passage migratoire (mai, août-septembre). Cherche-le mêlé aux variables, plus petit et plus actif, court en saccades à grand pas.",2026-05-11 17:32:01.760665+00,
Calidris pugnax,Combattant varié,birds,rare,"Limicole trapu au dimorphisme extrême : mâle nuptial à collerette spectaculaire colorée variable, femelle plus petite brun strié uniforme.","Prairies humides, lagunes en passage (avril-mai, août-octobre). Cherche les groupes mixtes, mâles spectaculaires en avril, ailleurs femelles ternes plus discrètes.",2026-05-11 17:32:01.760665+00,
Caprimulgus europaeus,Engoulevent d'Europe,birds,rare,"Oiseau crépusculaire au plumage écorce parfait, longues ailes et queue, grande bouche pour gober les insectes en vol. Chant en ronronnement mécanique.","Landes, coupes forestières, garrigues claires de mai à août. S'identifie au chant continu en ronronnement émis au crépuscule, ou aux silhouettes en vol papillonnant.",2026-05-11 17:25:50.984936+00,
Carduelis carduelis,Chardonneret élégant,birds,common,"Petit fringille au visage rouge vif cerclé de blanc et noir, ailes noires barrées d'une large bande jaune éclatante en vol.","Friches, vergers, jardins fleuris. Cherche-le sur les têtes de chardons et cardères secs en été, ou en petites bandes musicales en hiver.",2026-05-11 17:15:47.208986+00,
Certhia brachydactyla,Grimpereau des jardins,birds,common,"Petit oiseau brun strié au-dessus, ventre blanc, bec long fin et courbe. Grimpe les troncs en spirale ascendante, queue rigide en appui.","Parcs, jardins arborés, forêts toute l'année. Cherche-le glissant sur les écorces rugueuses des vieux arbres, suis le cri aigu « ti-ti-ti » répété.",2026-05-11 17:21:32.121165+00,
Certhia familiaris,Grimpereau des bois,birds,rare,"Très semblable au grimpereau des jardins mais sourcil blanc plus marqué, bec un peu plus court. Chant descendant en cascade flûtée, différent.","Forêts montagneuses et mixtes du nord-est et des montagnes. À identifier surtout au chant : phrase mélodieuse descendante, contrairement aux jardins.",2026-05-11 17:21:32.121165+00,
Charadrius dubius,Petit Gravelot,birds,rare,"Petit limicole proche du grand mais bec entièrement noir, cercle oculaire jaune vif marqué, pas de bande blanche sur l'aile en vol.","Gravières, berges sablonneuses de rivières d'avril à août. Cherche-le sur les zones de gravier nu intérieures, jamais sur les vraies plages contrairement au grand.",2026-05-11 17:32:01.760665+00,
Charadrius hiaticula,Grand Gravelot,birds,rare,"Petit limicole brun dessus, ventre blanc, large collier noir net, bec orange à pointe noire, pattes orangées. Cri sifflé « tu-it » caractéristique.","Plages, vasières, estuaires en passage (avril-mai, août-octobre). Cherche-le courant en saccades sur le sable, gros bandeau noir typique très visible.",2026-05-11 17:32:01.760665+00,
Charadrius morinellus,Pluvier guignard,birds,epic,"Petit pluvier discret, plumage nuptial spectaculaire à ventre roux foncé et bande pectorale blanche, sourcil blanc épais cerclant la nuque. Très confiant.","En passage migratoire d'altitude et plaines (août-septembre, avril-mai). Cherche les petits groupes posés sur les pelouses rases de cols ou de plateaux moissonnés.",2026-05-11 20:02:32.740404+00,
Chlidonias hybrida,Guifette moustac,birds,epic,"Guifette plus grande, plumage nuptial à joues blanches très tranchées (« moustache »), ventre gris ardoise, calotte noire, bec rouge. Spectaculaire.","Étangs végétalisés du sud-ouest et Brenne, mai-août. Cherche le contraste joues blanches / ventre gris en plumage nuptial, vol papillonnant gracieux.",2026-05-11 17:32:01.760665+00,
Chlidonias niger,Guifette noire,birds,rare,"Petite guifette estivale au plumage nuptial spectaculaire entièrement noir et gris ardoise, ailes claires. Vol papillonnant léger au-dessus de l'eau.","Étangs, marais d'avril à septembre. Cherche le vol aérien capturant les insectes à la surface de l'eau, jamais le plongeon des sternes maritimes.",2026-05-11 17:32:01.760665+00,
Chloris chloris,Verdier d'Europe,birds,common,"Fringille trapu vert olive teinté de jaune, bec clair épais, larges plages jaunes sur ailes et queue visibles en vol.","Parcs, jardins, lisières. Repère le chant traînant « djuuiii » du mâle perché en hauteur au printemps, ou aux mangeoires en hiver.",2026-05-11 17:15:47.208986+00,
Chroicocephalus ridibundus,Mouette rieuse,birds,common,"Mouette de taille moyenne, capuchon brun chocolat en nuptial (point noir derrière l'œil en hiver), ailes blanches à pointe blanche. Cris rauques typiques.","Étangs, fleuves, côtes, terres labourées toute l'année. La mouette la plus répandue, en bandes très bruyantes derrière les charrues ou aux points d'eau.",2026-05-11 17:32:01.760665+00,
Ciconia ciconia,Cigogne blanche,birds,rare,"Grand échassier blanc à rémiges noires, bec et longues pattes rouges vif. Vol plané majestueux à cou tendu, nid sur les toits et pylônes.","Plaines humides, prairies, villages d'Alsace, du Centre-Ouest et progression vers le sud. Visible aux nids dès février, ou en passage migratoire massif en août.",2026-05-11 17:29:10.709741+00,
Ciconia nigra,Cigogne noire,birds,epic,"Grand échassier au plumage noir à reflets verts et pourprés, ventre blanc, bec et pattes rouges. Beaucoup plus forestière et discrète que la blanche.","Grandes forêts à étangs, surtout en passage migratoire (avril, sept). À chercher en vol plané au-dessus des massifs ou aux étangs forestiers calmes.",2026-05-11 17:29:10.709741+00,
Cinclus cinclus,Cincle plongeur,birds,rare,"Oiseau trapu brun chocolat à plastron blanc éclatant, vit dans les torrents et plonge sous l'eau pour chasser. Queue courte redressée.","Torrents et rivières vives de montagne et collines toute l'année. Cherche-le posé sur un rocher émergé, plongeant brièvement contre le courant.",2026-05-11 17:21:32.121165+00,
Circaetus gallicus,Circaète Jean-le-Blanc,birds,epic,"Grand rapace estival au-dessous blanc moucheté, tête volumineuse brune contrastée, queue barrée. Spécialiste des serpents qu'il chasse en vol stationnaire.","Forêts ouvertes et garrigues du sud, mais aussi centre-France, d'avril à septembre. Cherche le vol stationnaire haut au-dessus des coteaux secs.",2026-05-11 17:25:50.984936+00,
Circus aeruginosus,Busard des roseaux,birds,rare,"Plus grand busard, allure plus lourde, mâle au dos brun et plages tricolores (gris, brun, noir), femelle brun chocolat à calotte crème.","Roselières, étangs, marais, plaines humides toute l'année. Cherche le vol bas plané au-dessus des phragmitaies, ailes en V marqué et flottement caractéristique.",2026-05-11 17:25:50.984936+00,
Circus cyaneus,Busard Saint-Martin,birds,rare,"Busard élancé, mâle gris pâle à bouts d'ailes noirs nets, femelle brune au croupion blanc éclatant. Vol bas et flottant aux ailes en V.","Plaines céréalières, marais, landes toute l'année. Cherche le vol bas et balancé au-dessus des chaumes en hiver, ou dortoirs collectifs en plaine.",2026-05-11 17:25:50.984936+00,
Circus pygargus,Busard cendré,birds,rare,"Busard plus fin et plus élégant que le Saint-Martin, mâle gris cendré à barre noire sur l'aile, femelle brune très semblable. Estival strict.","Plaines céréalières d'avril à août. Cherche le vol nuptial en montagnes russes du mâle, ou les femelles glissant lentement au-dessus du blé.",2026-05-11 17:25:50.984936+00,
Cisticola juncidis,Cisticole des joncs,birds,rare,"Minuscule passereau brun strié à queue courte, croupion non strié. Vol nuptial onduleux en émettant un « tzip-tzip-tzip » régulier.","Friches herbacées, prairies sèches du sud et de l'ouest. Cherche le vol nuptial en festons au-dessus du champ, mâle invisible au sol sinon.",2026-05-11 17:15:47.208986+00,
